9,15,19,22,25,37,8,98
5,9,15,20,40,46,4,97
1,4,9,14,35,36,4,97
6,14,19,29,30,39,2,92
8,28,30,42,43,49,49,92
1,3,11,15,16,47,40,91
8,14,23,38,40,47,22,90
2,15,22,42,47,49,42,90
19,24,25,28,29,47,21,89
1,26,33,44,46,49,14,88
15,22,29,30,31,32,40,88
4,7,9,23,35,47,31,87
3,4,15,21,26,49,9,86
10,14,26,28,35,46,39,86
6,9,26,33,40,43,25,86
9,18,20,23,28,45,8,86
16,19,23,28,31,41,2,85
2,13,14,19,24,44,11,85
9,19,33,34,37,44,10,85
15,20,30,32,37,43,21,85
1,7,22,33,37,40,23,84
9,12,20,23,32,43,37,84
1,5,11,30,43,49,48,84
7,14,28,34,44,49,23,83
6,9,31,36,38,39,14,83
2,5,6,9,14,45,30,83
2,12,15,16,30,38,4,83
9,15,34,37,41,46,48,83
5,8,9,10,27,48,30,83
1,6,10,18,39,49,20,82
3,12,22,31,40,44,45,82
1,12,38,46,48,49,1,82
13,30,40,43,44,46,44,82
7,9,16,38,45,48,14,82
2,6,19,20,40,48,29,81
18,26,28,38,47,49,43,81
5,7,20,23,41,48,22,81
15,34,38,39,43,47,11,81
26,30,37,41,47,48,47,81
10,20,23,27,28,35,9,80
5,12,15,25,41,46,47,80
7,19,37,38,42,48,2,80
3,16,22,24,29,36,45,79
2,7,13,15,33,49,22,79
3,17,20,27,28,46,39,78
3,38,40,42,43,45,40,78
9,25,35,39,46,49,5,78
10,18,26,27,41,43,12,77
7,10,30,36,45,46,1,77
3,31,34,36,38,43,42,77
3,9,15,19,25,28,4,108
5,9,14,20,36,46,26,84
1,4,9,11,28,35,28,88
6,19,22,30,39,46,25,91
8,39,42,43,46,49,7,88
1,3,8,11,15,40,2,93
8,14,18,28,38,40,19,81
2,13,15,22,34,47,41,75
1,19,22,24,25,28,6,102
1,17,26,33,43,46,22,91
4,15,22,29,32,43,23,83
2,4,7,23,36,47,10,73
3,15,21,28,38,49,31,82
2,10,14,28,46,47,10,85
6,9,23,33,40,43,43,95
1,9,18,28,37,45,33,91
16,23,28,31,38,41,6,74
5,13,14,19,24,27,26,83
4,9,19,24,34,44,10,94
20,30,32,39,43,49,47,82
1,7,37,40,45,48,28,81
9,20,23,31,34,43,7,90
1,13,16,30,43,49,29,85
4,7,10,28,34,49,24,76
6,9,31,32,38,39,20,83
4,5,6,9,14,47,46,92
2,12,15,16,38,47,34,76
1,9,27,37,41,46,39,94
5,8,9,11,15,27,26,86
1,6,8,10,25,39,45,89
3,9,12,22,31,40,13,89
1,4,15,38,46,48,32,88
14,26,40,43,44,46,41,85
7,9,15,16,22,45,31,95
6,19,20,40,47,48,2,86
18,26,29,38,47,49,29,67
5,8,20,23,30,41,26,78
15,29,38,39,43,47,8,83
16,18,30,37,41,47,41,69
8,10,20,23,27,49,18,77
5,12,25,30,41,46,3,72
1,7,19,37,38,45,28,86
7,16,24,29,36,38,43,77
2,13,15,29,42,49,47,77
3,17,20,27,39,46,29,69
3,4,40,42,43,45,10,80
25,32,35,39,40,46,13,66
10,26,27,37,41,43,21,73
5,7,10,29,30,46,27,83
1,3,6,36,38,43,3,83
4,13,16,24,29,42,24,72
5,12,13,31,36,40,28,66
5,9,10,33,36,44,24,77
5,11,13,31,37,38,35,54
5,26,27,35,44,49,49,68
2,13,15,28,30,32,5,83
5,7,12,19,24,25,23,86
11,18,24,44,46,48,48,68
5,10,30,32,42,47,12,87
13,19,24,28,34,37,7,84
7,23,29,36,42,49,36,76
1,6,10,15,16,24,11,97
10,19,24,28,35,43,44,93
2,20,21,30,33,38,35,62
5,14,16,20,28,42,29,82
11,28,37,39,42,48,14,75
3,17,21,28,39,44,34,70
3,11,15,26,42,44,13,82
2,7,18,31,32,39,48,66
7,8,10,15,41,49,13,83
12,18,21,22,31,35,22,73
2,12,13,18,40,46,49,64
4,13,15,25,30,42,48,76
2,3,8,12,37,42,1,76
10,19,30,34,38,46,24,85
3,10,12,13,14,25,44,75
8,13,22,26,32,49,36,77
2,4,6,13,15,47,27,79
3,8,14,20,27,28,33,89
4,7,14,22,25,35,7,77
13,15,27,29,41,46,17,73
1,9,21,23,36,40,33,91
7,23,26,28,29,31,38,82
12,13,18,30,31,41,12,75
9,16,23,27,30,46,31,93
4,8,13,17,34,43,35,64
8,14,40,43,44,47,8,91
9,12,22,31,39,47,9,96
15,26,29,32,43,46,37,83
9,14,18,26,43,48,1,90
1,7,16,20,35,43,15,89
4,14,27,38,39,41,23,71
20,27,34,38,43,49,15,74
13,15,18,21,36,47,4,73
1,30,31,35,43,48,5,92
20,21,39,41,42,45,15,73
7,21,34,41,45,47,10,70
6,20,24,26,37,39,25,74
9,12,13,18,37,39,39,74
7,16,30,33,34,41,41,72
